1 Gen 1 stones [2024]
2 Gen 2 stones [20 24]
3 Gen 4 stones [2 0 2 4]
4 Gen 4 stones [4048 1 4048 8096]
5 Gen 7 stones [40 48 2024 40 48 80 96]
6 Gen 14 stones [4 0 4 8 20 24 4 0 4 8 8 0 9 6]
7 Gen 16 stones [8096 1 8096 16192 2 0 2 4 8096 1 8096 16192 16192 1 18216 12144]
8 Gen 20 stones [80 96 2024 80 96 32772608 4048 1 4048 8096 80 96 2024 80 96 32772608 32772608 2024 36869184 24579456]
9 Gen 39 stones [8 0 9 6 20 24 8 0 9 6 3277 2608 40 48 2024 40 48 80 96 8 0 9 6 20 24 8 0 9 6 3277 2608 3277 2608 20 24 3686 9184 2457 9456]
10 Gen 62 stones
11 Gen 81 stones
12 Gen 110 stones
13 Gen 200 stones
14 Gen 328 stones
15 Gen 418 stones
16 Gen 667 stones
17 Gen 1059 stones
18 Gen 1546 stones
19 Gen 2377 stones
20 Gen 3572 stones
